Name,PŁEĆ,LICZBA_WYSTĄPIEŃ
ANNA,KOBIETA,1053032
KATARZYNA,KOBIETA,606814
MARIA,KOBIETA,601501
MAŁGORZATA,KOBIETA,581732
AGNIESZKA,KOBIETA,549842
BARBARA,KOBIETA,491058
EWA,KOBIETA,481613
MAGDALENA,KOBIETA,434596
ELŻBIETA,KOBIETA,425218
KRYSTYNA,KOBIETA,423395
JOANNA,KOBIETA,405877
ALEKSANDRA,KOBIETA,387570
MONIKA,KOBIETA,378843
ZOFIA,KOBIETA,377324
TERESA,KOBIETA,343267
DANUTA,KOBIETA,307054
NATALIA,KOBIETA,302557
JULIA,KOBIETA,297080
KAROLINA,KOBIETA,290795
MARTA,KOBIETA,287039
BEATA,KOBIETA,281453
DOROTA,KOBIETA,270009
HALINA,KOBIETA,248784
ALICJA,KOBIETA,248771
JADWIGA,KOBIETA,245923
JOLANTA,KOBIETA,240095
JANINA,KOBIETA,237595
IWONA,KOBIETA,234048
GRAŻYNA,KOBIETA,232872
PAULINA,KOBIETA,223618
IRENA,KOBIETA,223093
JUSTYNA,KOBIETA,216972
ZUZANNA,KOBIETA,214101
BOŻENA,KOBIETA,202404
WIKTORIA,KOBIETA,200469
HANNA,KOBIETA,194692
RENATA,KOBIETA,189245
URSZULA,KOBIETA,188192
AGATA,KOBIETA,183046
SYLWIA,KOBIETA,182937
HELENA,KOBIETA,172745
MAJA,KOBIETA,169624
PATRYCJA,KOBIETA,169015
IZABELA,KOBIETA,159304
EMILIA,KOBIETA,156491
ANETA,KOBIETA,151953
OLIWIA,KOBIETA,151489
WERONIKA,KOBIETA,150185
EWELINA,KOBIETA,148166
MARTYNA,KOBIETA,140935
KLAUDIA,KOBIETA,138373
GABRIELA,KOBIETA,131212
MARZENA,KOBIETA,129989
MARIANNA,KOBIETA,126854
LENA,KOBIETA,122349
DOMINIKA,KOBIETA,121431
STANISŁAWA,KOBIETA,121294
KINGA,KOBIETA,119903
AMELIA,KOBIETA,117578
EDYTA,KOBIETA,114473
KAMILA,KOBIETA,109331
WIESŁAWA,KOBIETA,108868
WANDA,KOBIETA,98568
ALINA,KOBIETA,87203
LIDIA,KOBIETA,83206
MARIOLA,KOBIETA,82692
LUCYNA,KOBIETA,82117
NIKOLA,KOBIETA,75549
MILENA,KOBIETA,73094
DARIA,KOBIETA,72830
WIOLETTA,KOBIETA,72771
MIROSŁAWA,KOBIETA,71902
ANGELIKA,KOBIETA,64893
LAURA,KOBIETA,62929
ANTONINA,KOBIETA,60599
KAZIMIERA,KOBIETA,60121
BOGUMIŁA,KOBIETA,56474
GENOWEFA,KOBIETA,55547
OLGA,KOBIETA,55163
SANDRA,KOBIETA,53881
ILONA,KOBIETA,51974
MICHALINA,KOBIETA,51968
HENRYKA,KOBIETA,49798
NADIA,KOBIETA,48801
JÓZEFA,KOBIETA,48592
MARLENA,KOBIETA,48458
SABINA,KOBIETA,48155
BOGUSŁAWA,KOBIETA,48151
STEFANIA,KOBIETA,47540
KORNELIA,KOBIETA,47230
ŁUCJA,KOBIETA,46978
ANITA,KOBIETA,45356
REGINA,KOBIETA,45213
IGA,KOBIETA,41812
CZESŁAWA,KOBIETA,41598
LILIANA,KOBIETA,41300
WŁADYSŁAWA,KOBIETA,41131
MARCELINA,KOBIETA,40543
JAGODA,KOBIETA,39940
ANIELA,KOBIETA,39710
POLA,KOBIETA,39146
NINA,KOBIETA,38860
WIOLETA,KOBIETA,34470
ADRIANNA,KOBIETA,33005
KARINA,KOBIETA,32187
ROKSANA,KOBIETA,31833
DAGMARA,KOBIETA,31637
TETIANA,KOBIETA,30955
NATALIIA,KOBIETA,30944
MALWINA,KOBIETA,29751
SARA,KOBIETA,29636
CECYLIA,KOBIETA,28724
OLENA,KOBIETA,28354
IRYNA,KOBIETA,27787
ŻANETA,KOBIETA,27187
ZDZISŁAWA,KOBIETA,26966
ELIZA,KOBIETA,26864
LEOKADIA,KOBIETA,26337
OKSANA,KOBIETA,25354
RÓŻA,KOBIETA,24546
BRONISŁAWA,KOBIETA,23744
KAJA,KOBIETA,23636
BERNADETA,KOBIETA,23163
EUGENIA,KOBIETA,23136
KLARA,KOBIETA,22956
BLANKA,KOBIETA,22319
SVITLANA,KOBIETA,22164
ANASTAZJA,KOBIETA,22020
JULITA,KOBIETA,21745
OLHA,KOBIETA,21589
ALDONA,KOBIETA,21160
DANIELA,KOBIETA,20543
ROZALIA,KOBIETA,20046
DIANA,KOBIETA,19887
VIOLETTA,KOBIETA,19358
MARIIA,KOBIETA,18421
MAGDA,KOBIETA,18293
LILIANNA,KOBIETA,17921
CELINA,KOBIETA,17901
YULIIA,KOBIETA,17792
HONORATA,KOBIETA,16404
MATYLDA,KOBIETA,16110
VIKTORIIA,KOBIETA,16054
ADRIANA,KOBIETA,15606
PAULA,KOBIETA,15309
ANASTASIIA,KOBIETA,15091
LIUDMYLA,KOBIETA,14773
BRYGIDA,KOBIETA,14762
KATERYNA,KOBIETA,14416
IZABELLA,KOBIETA,14290
GERTRUDA,KOBIETA,13966
AURELIA,KOBIETA,13830
MIECZYSŁAWA,KOBIETA,13750
NELA,KOBIETA,13598
KALINA,KOBIETA,13433